順位,貸出数,書誌情報,分類,ＩＳＢＮ
99,17,おきがえいろいろかくれんぼ　　（これなあに?かたぬきえほん 4）　いしかわ こうじ／作・絵　ポプラ社　2006.9　16×16cm　[32p],E,4-591-09400-6
99,17,かいけつゾロリちきゅうさいごの日　　（ポプラ社の新・小さな童話 174 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1999.12　22cm　88p,913.6,4-591-06235-X
99,17,かいけつゾロリのきょうふのカーレース　　（ポプラ社の新・小さな童話 156 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1997.7　22cm　94p,913.6,4-591-05433-0
99,17,かいけつゾロリの大かいぞく　　（ポプラ社の新・小さな童話 15）　原 ゆたか／さく・え　ポプラ社　1989.5　22cm　83p,913.6,4-591-03015-6
99,17,かいけつゾロリのなぞのおたから大さくせん　前編　　（ポプラ社の新・小さな童話 219 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2005.12　22cm　85p,913.6,4-591-08975-4
99,17,かいけつゾロリまもるぜ!きょうりゅうのたまご　　（ポプラ社の新・小さな童話 226 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2006.12　22cm　95p,913.6,4-591-09512-6
99,17,恐竜トリケラトプスとスピノサウルス　　（たたかう恐竜たち）　黒川 みつひろ／作絵　小峰書店　2010.6　29cm　[39p],E,4-338-17313-1
99,17,ころころぽーん　新井 洋行／作　ほるぷ出版　2011.6　21cm　[26p],E,4-593-56077-6
99,17,しろくまのパンツ　tupera tupera／作　ブロンズ新社　2012.9　31cm　1冊(ページ付なし),E,4-89309-547-3
99,17,新・恐竜たち　　（絵巻えほん）　黒川 みつひろ／著　こぐま社　2008.4　26×26cm　1冊(ページ付なし),E,4-7721-0191-2
99,17,11ぴきのねこ　馬場 のぼる／著　こぐま社　1978　27cm　1冊,E,4-7721-0004-0
99,17,ちっちゃなミッケ!　ジーン・マルゾーロ／文　小学館　2010.12　13×15cm　1冊(ページ付なし),E,4-09-726303-6
99,17,チャレンジミッケ!　7　ウォルター・ウィック／作　小学館　2010.11　26×26cm　27p,E,4-09-726087-5
