順位,貸出数,書誌情報,分類,ＩＳＢＮ
68,42,かいけつゾロリのきょうふの大ジャンプ　　（ポプラ社の新・小さな童話 158 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1997.12　22cm　94p,913.6,4-591-05521-3
68,42,かいけつゾロリのまほうのランプーッ　　（[ポプラ社の新・小さな童話] [284] かいけつゾロリシリーズ 54）　原 ゆたか／さく・え　ポプラ社　2013.12　22cm　102p,913.6,4-591-13691-1
68,42,かいけつゾロリのメカメカ大さくせん　　（[ポプラ社の新・小さな童話] [272] かいけつゾロリシリーズ 51）　原 ゆたか／さく・え　ポプラ社　2012.7　22cm　103p,913.6,4-591-12996-8
68,42,くだものさん　　（PETIT POOKA）　tupera tupera／さく　学研教育出版　2010.7　18×18cm　[38p],E,4-05-203297-4
68,42,だるまさんが　かがくい ひろし／さく　ブロンズ新社　2008.1　19cm　1冊(ページ付なし),E,4-89309-431-5
73,41,かいけつゾロリの大どろぼう　　（ポプラ社の新・小さな童話 215 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2005.7　22cm　91p,913.6,4-591-08734-4
73,41,恐竜リトルホーンと巨大翼竜　　（恐竜の大陸）　黒川 みつひろ／作絵　小峰書店　1992.9　31cm　39p,E,4-338-10102-4
73,41,こぐまちゃんいたいいたい　わかやま けん／[え]　こぐま社　1974　20×22cm　1冊,E,4-7721-0028-8
76,40,じゃあじゃあびりびり　　（まついのりこあかちゃんのほん）　まつい のりこ／作・絵　偕成社　2001.8　14×14cm　1冊,E,4-03-102440-1
76,40,ばいばいまたね　　（はじめての絵本たいむ）　さとう わきこ／作絵　金の星社　2007.7　18×18cm　[24p],E,4-323-03904-6
76,40,やさい　　（福音館の幼児絵本）　平山 和子／さく　福音館書店　1982.9　22cm　23p,E,4-8340-0900-9
79,39,赤ちゃんのためのかたちの絵本　桑原 伸之／さく　あすなろ書房　2005.5　18×18cm　1冊(ページ付なし),E,4-7515-2183-7
79,39,かいけつゾロリきょうふのちょうとっきゅう　　（[ポプラ社の新・小さな童話] [244] かいけつゾロリシリーズ 45）　原 ゆたか／さく・え　ポプラ社　2009.7　22cm　111p,913.6,4-591-11059-1
79,39,かいけつゾロリのにんじゃ大さくせん　　（ポプラ社の新・小さな童話 127 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1995.12　22cm　95p,913.6,4-591-04898-5
79,39,がたんごとんがたんごとんざぶんざぶん　　（福音館 あかちゃんの絵本）　安西 水丸／さく　福音館書店　2012.5　19×19cm　[20p],E,4-8340-2713-6
79,39,恐竜トリケラトプスと巨大ワニ　　（恐竜の大陸）　黒川 みつひろ／作絵　小峰書店　1993.6　31cm　38p,E,4-338-10103-2
79,39,恐竜トリケラトプスの大決戦　　（恐竜の大陸）　黒川 みつひろ／作絵　小峰書店　1998.3　31cm　39p,E,4-338-10107-5
79,39,だるまさんの　　（かがくいひろしのファーストブック）　かがくい ひろし／さく　ブロンズ新社　2008.8　19cm　1冊(ページ付なし),E,4-89309-447-6
79,39,パンやのろくちゃん　　（おひさまのほん）　長谷川 義史／作　小学館　2006.10　27cm　1冊(ページ付なし),E,4-09-727883-5
87,38,赤ちゃんのためのことばの絵本　桑原 伸之／さく　あすなろ書房　2002.7　18×18cm　1冊,E,4-7515-2181-0
87,38,いないいないばああそび　　（あかちゃんのあそびえほん 2）　きむら ゆういち／さく　偕成社　1989.2　22cm　1冊,E,4-03-131020-X
87,38,かいけつゾロリアニメ大百科　4　原 ゆたか／原作・監修　ポプラ社　2005.2　21cm　111p,778.77,4-591-08508-2
87,38,恐竜トリケラトプスと巨大ガメ　　（恐竜の大陸）　黒川 みつひろ／作絵　小峰書店　1996.10　31cm　39p,E,4-338-10105-9
87,38,ねずみくんとかくれんぼ　　（ねずみくんの絵本 22）　なかえ よしを／作　ポプラ社　2005.9　25cm　32p,E,4-591-08797-2
87,38,ハリー・ポッターと賢者の石　　（[「ハリー・ポッター」シリーズ] [1]）　J.K.ローリング／作　静山社　1999.12　22cm　462p,933,4-915512-37-1
87,38,バーバパパかせいへいく　　（講談社のバーバパパえほん 9）　アネット=チゾン／さく　講談社　2005.10　22×27cm　32p,E,4-06-128769-9
87,38,ポケット　三浦 太郎／さく・え　童心社　2010.11　22cm　[24p],E,4-494-00755-4
87,38,ぽんぽん　真珠 まりこ／作・絵　ひさかたチャイルド　2013.9　17cm　21p,E,4-89325-994-3
96,37,いないいないばあ　　（松谷みよ子あかちゃんの本）　松谷 みよ子／文　童心社　1981.5　22cm　17p,E,4-494-00101-5
96,37,かいけつゾロリアニメ大百科　2　原 ゆたか／原作・監修　ポプラ社　2004.8　21cm　111p,778.77,4-591-08175-3
96,37,くだもの　　（福音館の幼児絵本）　平山 和子／さく　福音館書店　1981.10　22cm　23p,E,4-8340-0853-3
96,37,たまごのあかちゃん　　（幼児絵本シリーズ）　かんざわ としこ／ぶん　福音館書店　1993.2　22cm　23p,E,4-8340-1192-5
96,37,はくしゅぱちぱち　　（あかちゃんあそぼ）　中川 ひろたか／文　ひかりのくに　2005.3　23cm　1冊(ページ付なし),E,4-564-01032-8
96,37,バムとケロのもりのこや　島田 ゆか／作 絵　文溪堂　2011.1　22×28cm　[32p],E,4-89423-707-0
96,37,ひこうき　　（バートンののりものえほん 3）　バイロン・バートン／さく え　金の星社　1992.5　16×19cm　1冊,E,4-323-01923-8
96,37,ほねほねザウルス　[1]　カバヤ食品株式会社／原案・監修　岩崎書店　2008.5　22cm　87p,913.6,4-265-82019-1
96,37,まるまるころころ　　（とことこえほん）　得田 之久／ぶん　童心社　2007.10　19×21cm　[28p],E,4-494-00394-5
